,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
Equal Weight,4.826643313391773,0.08848952627604856,0.1249930269701697,0.7079557029782716,0.9017925649281762,-0.23190304618407995,0.3815798357638104
Risk Parity,4.79586483154859,0.08821220555706377,0.12211289217817438,0.722382411746941,0.9062163893076427,-0.23669194105998004,0.37268782858437055
