,total_return,annualized_return,annualized_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio,win_rate,avg_win,avg_loss
SMA Trend,4.826643313391773,0.08848952627604856,0.1249930269701697,0.7079557029782716,0.9017925649281762,-0.23190304618407995,0.3815798357638104,0.5244368079419626,0.005511444132272246,-0.005971344971628819
Dual Momentum,4.466126712770541,0.08514992512211927,0.14588400464940166,0.5836823942882385,0.7425529672764333,-0.3947411971635543,0.21571076374589512,0.5246277205040092,0.006436556789870631,-0.007124829195664584
Buy & Hold,3.0511,0.0696,0.1181,0.59,0.75,-0.3561,0.2,0.546,0.0048,-0.0052
